OrderID,ProductID,Quantity,Price
279,558,78,3.89
593,959,76,2.99
732,537,33,39.99
565,473,20,5.49
146,731,22,3.19
106,758,67,12.99
31,338,20,199.99
905,201,56,5.99
906,188,76,4.29
907,818,52,2.79
908,659,69,24.99
909,590,33,4.49
910,241,15,2.99
911,98,100,5.79
912,361,45,10.99
913,288,65,4.29
914,132,46,4.29
948,751,24,7.49
126,973,59,32.99
34,451,54,14.99
730,815,13,3.49
430,891,8,6.49
517,389,93,4.49
760,373,32,39.99
728,821,43,24.99
14,874,39,6.99
15,45,65,19.99
16,359,13,3.99
17,836,96,3.99
18,832,34,19.99
19,107,12,22.99
20,739,11,27.99
21,526,83,34.99
22,885,23,3.99
23,854,13,54.99
288,473,75,3.49
602,56,46,34.99
387,963,43,24.99
187,514,90,29.99
261,982,96,4.99
985,217,54,3.49
843,241,89,4.99
202,301,46,5.49
224,8,72,4.99
492,175,20,58.99
852,88,9,2.99
209,571,60,39.99
416,277,44,2.79
288,965,62,1.99
721,593,71,3.29
886,788,51,3.5
887,969,8,3.99
888,219,78,2.49
889,503,99,9.49
890,835,62,129.99
891,845,38,22.99
892,646,72,2.99
893,816,7,14.99
894,859,25,12.99
895,564,50,39.99
896,528,55,6.99
462,557,23,39.99
753,943,31,3.49
230,483,49,3.49
102,347,61,15.99
605,140,98,5.99
937,926,47,9.99
762,499,53,2.49
399,40,25,3.49
400,546,15,6.99
401,41,82,34.99
402,626,71,39.99
403,680,86,34.99
404,466,3,3.99
405,797,26,59.99
406,776,40,3.79
407,130,66,24.99
408,992,23,2.99
409,695,33,12.99
410,580,49,89.99
639,810,56,19.99
836,203,67,2.79
58,597,7,5.49
70,219,42,3.99
89,635,23,1.29
57,635,25,4.99
522,650,77,3.49
908,96,37,29.99
909,14,87,1.5
910,484,94,22.99
911,860,42,3.99
912,94,71,22
913,7,33,2.49
914,913,2,2.49
915,312,54,4.49
916,198,5,34.99
917,437,97,24.99
918,178,1,29.99
919,294,94,29.99
920,168,68,49.99
921,365,83,3.29
922,593,35,14.99
923,447,52,3.99
924,609,68,3.99
925,423,92,1.29
926,891,20,4.29
720,846,64,22.99
992,337,53,10.99
952,199,17,1.29
967,16,33,14.99
336,941,57,34.99
981,451,47,3.49
367,778,55,49.99
211,947,71,3.99
188,274,40,25.99
724,992,72,8.99
205,872,46,59.99
179,308,15,2.99
50,593,46,29.99
518,312,51,9.99
721,641,63,22.99
559,310,27,4.99
120,226,10,29.99
684,394,43,5.99
685,271,38,12.99
686,364,16,15.99
687,174,29,19.99
688,260,89,4.99
689,335,65,4.29
690,30,14,6.49
691,196,16,39.99
692,5,35,8.99
693,823,46,29.99
694,760,45,6.49
71,756,69,6.99
121,946,17,2.49
533,111,35,14.99
522,237,90,3.99
700,51,73,3.99
605,287,3,1.29
520,780,91,3.99
594,669,5,4.99
47,941,14,1.49
240,815,34,24.99
774,966,84,29.99
967,377,52,1.99
386,351,57,15.99
303,128,32,89.99
444,589,87,39.99
111,237,44,169.99
300,574,49,5.49
750,802,88,49.99
105,579,92,12.99
891,909,19,99.99
923,142,36,89.99
28,634,78,79.99
329,680,16,29.99
578,431,70,8.49
925,734,34,34.99
691,108,12,14.99
182,221,27,6.49
159,345,28,18.99
555,713,5,79.99
420,763,4,2.99
487,226,88,2.49
250,749,9,22.99
503,817,74,2.99
79,52,24,34.99
89,595,74,12.99
875,193,42,39.99
324,877,56,39.99
365,507,58,2.99
252,350,40,199.99
884,853,76,34.99
707,639,23,8.99
983,637,47,14.99
131,301,26,3.49
593,469,3,7.99
150,628,9,8.99
517,684,97,3.79
136,925,47,8.99
382,627,100,2.99
515,365,72,2.99
346,365,28,4.49
441,88,33,4.99
975,508,66,24.99
770,842,47,2.49
572,422,46,6.49
573,330,24,3.5
431,825,60,39.99
592,321,54,79.99
782,305,70,29.99
73,392,64,1.5
446,624,84,34.99
964,162,95,59.99
920,348,38,4.29
749,973,46,149.99
487,546,87,1.99
478,241,39,12.99
429,632,13,14.99
289,512,1,8.99
623,776,63,8.49
967,782,19,4.29
446,526,1,39.99
829,590,77,3.49
316,601,14,29.99
343,605,66,1.99
595,462,98,19.99
48,800,10,34.99
829,62,46,54.99
908,327,2,34.99
8,97,96,99.99
374,360,52,199.99
440,633,49,34.99
165,163,79,89.99
502,569,59,29.99
260,549,38,8.99
546,249,22,2.29
674,938,54,3.99
811,757,87,39.99
768,55,8,2.79
35,993,34,24.99
315,727,55,3.29
911,938,73,5.49
272,120,79,27.99
65,572,3,3.99
30,431,79,24.99
369,657,70,5.99
846,896,90,19.99
137,682,21,11.99
910,344,84,3.79
990,111,40,5.49
626,18,25,34.99
806,905,75,3.49
601,550,58,3.99
561,610,97,1.99
36,233,67,2.79
290,686,43,5.49
627,322,24,35
292,84,58,9.99
970,271,65,4.29
163,622,35,3.49
600,225,70,14.99
193,442,27,69.99
625,285,46,3.49
393,228,52,5.49
23,767,20,19.99
330,373,22,4.79
283,843,100,49.99
308,226,18,4.99
899,737,26,39.99
69,397,44,1.79
513,136,2,29.99
295,211,37,12.99
572,214,34,6.99
148,178,12,2.99
63,581,18,9.99
191,133,45,19.99
356,605,35,199.99
160,197,54,2.49
294,11,19,19.99
420,683,64,39.99
560,100,81,19.99
507,267,95,2.89
669,857,67,3.99
333,247,30,5.99
378,544,48,89.99
75,177,45,1.29
385,612,91,12.99
327,994,82,22.99
799,99,38,4.29
765,677,70,99.99
250,429,71,3.99
552,354,42,129.99
774,159,41,3.49
781,230,5,99.99
184,693,86,4.49
305,187,13,19.99
380,935,44,2.49
153,94,36,19.99
390,40,10,5.99
518,304,71,29.99
107,552,18,34.99
551,890,49,299.99
321,49,87,89.99
240,783,12,4.99
150,706,16,19.99
625,353,44,8.99
786,369,12,54.99
388,174,55,19.99
615,189,71,7.99
534,367,47,1.99
451,663,7,8.99
719,517,58,2.79
258,886,2,89.99
388,791,37,99.99
948,342,25,44.99
18,10,38,14.99
161,898,63,19.99
68,135,40,4.99
72,101,41,4.49
204,790,1,12.99
477,119,61,15.99
855,42,62,39.99
927,373,84,12.99
748,230,84,35.99
590,396,1,9.99
360,623,64,3.29
130,757,60,149.99
723,455,41,0.89
432,278,66,3.99
472,555,52,12.99
645,106,96,1.99
231,374,58,3.99
991,843,61,19.99
991,903,42,49.99
843,697,62,29.99
480,135,80,8.99
641,656,83,5.99
666,668,53,49.99
367,869,18,69.99
701,366,77,4.29
693,761,65,39.99
692,898,31,15.99
638,595,43,4.79
533,365,15,4.19
117,873,33,3.49
921,24,84,39.99
271,774,1,22.99
421,569,40,1.49
139,170,16,29.99
32,285,3,3.99
944,736,37,4.29
243,494,38,4.49
989,646,11,29.99
888,264,63,2.99
462,256,54,69.99
465,751,22,2.29
226,719,3,29.99
602,996,33,199.99
608,796,42,2.19
106,896,96,39.99
831,995,18,24.99
196,928,25,89.99
374,732,4,4.99
25,306,9,24.99
36,688,96,39.99
583,146,60,4.59
72,500,62,12.99
588,460,78,39.99
140,624,62,1.29
246,367,52,22.99
339,810,38,3.99
37,114,82,2.99
458,799,98,69.99
174,363,22,22.99
807,550,92,5.49
658,331,62,1.99
750,970,38,3.29
286,344,99,14.99
901,451,15,4.29
276,959,47,7.99
132,631,58,4.99
476,808,83,59.99
373,79,63,4.99
327,336,73,29.99
956,68,14,2.79
712,485,44,129.99
307,372,43,4.99
663,543,7,24.99
544,933,78,7.99
220,287,34,3.49
987,338,33,79.99
831,294,66,11.99
408,993,72,3.49
970,345,94,3.99
628,442,77,3.29
13,244,84,3.29
727,899,80,29.99
896,214,67,3.49
414,875,8,4.29
385,530,91,2.59
952,768,56,34.99
315,574,29,49.99
791,489,43,3.99
574,741,29,3.99
252,873,45,39.99
103,14,14,34.99
894,717,88,79.99
889,305,96,39.99
667,614,42,1.29
179,49,56,4.49
322,513,39,3.29
729,226,69,79.99
785,426,70,4.99
710,161,78,6.99
226,626,12,4.49
132,866,74,2.99
320,283,43,64.99
757,23,89,3.99
369,475,57,5.49
507,108,32,29.99
83,937,44,5.79
160,878,90,5.99
987,78,54,1.5
394,190,50,19.99
594,682,26,19.99
835,599,50,14.99
165,868,52,24.99
332,216,9,12.99
967,65,73,4.99
785,914,71,3.49
932,906,98,7.99
996,378,90,199.99
995,672,84,39.99
248,365,64,34.99
210,603,46,2.99
67,749,84,49.99
369,119,33,3.29
577,587,94,3.99
886,575,38,14.99
869,722,70,3.59
304,490,71,3.99
692,116,36,2.99
670,104,35,49.99
45,851,50,19.99
506,830,35,5.79
402,296,62,4.49
150,756,2,199.99
162,443,49,2.99
855,744,78,5.99
949,935,42,2.29
687,714,17,49.99
983,909,78,3.79
195,571,42,35.99
543,61,55,15.99
44,478,7,59.99
351,197,13,19.99
537,553,4,4.49
35,822,15,6.49
949,715,38,5.49
628,1,93,49.99
88,379,76,2.99
770,395,32,4.29
330,742,86,49.99
876,931,78,4.29
279,114,1,4.49
879,441,53,2.29
510,991,88,3.49
181,57,8,39.99
551,478,54,99.99
620,851,74,24.99
884,164,99,1.99
964,855,51,5.99
687,277,99,24.99
39,348,65,79.99
36,18,21,6.49
917,91,8,5.99
116,456,70,2.39
725,62,99,2.49
646,738,86,34.99
458,206,81,4.29
309,171,88,29.99
510,650,74,59.99
103,671,19,34.99
772,87,58,19.99
853,938,57,5.99
711,73,55,3.99
535,660,1,79.99
45,457,17,3.99
562,612,18,3.89
620,203,27,4.49
969,251,36,3.79
907,923,2,19.99
457,690,21,79.99
592,280,80,79.99
376,846,87,89.99
443,597,86,3.99
77,21,14,3.29
335,437,35,29.99
739,173,84,2.49
596,426,54,3.5
202,274,31,199.99
265,348,45,14.99
456,398,95,3.99
593,434,64,5.99
5,491,17,4.49
357,238,70,24.99
351,411,80,12.99
579,52,18,2.99
691,257,36,29.99
670,826,65,79.99
720,3,50,25.99
529,808,43,29.99
515,898,89,39.99
27,202,26,3.29
872,635,97,9.99
683,133,69,22.99
833,275,38,12.99
350,901,56,49.99
330,357,33,5.49
471,811,87,34.99
512,590,83,8.99
651,956,52,3.79
827,305,45,4.29
955,465,3,3.29
826,990,10,39.99
805,676,87,49.99
952,202,13,12.99
873,942,70,2.49
527,246,61,59.99
349,674,86,5.99
481,526,81,54.99
509,106,99,2.49
626,24,27,4.99
450,489,74,29.99
769,13,60,12.99
211,596,86,19.99
426,905,86,5.49
869,688,56,0.99
521,517,23,9.99
758,918,53,19.99
485,672,34,24.99
226,852,68,29.99
503,315,80,3.49
912,856,79,0.99
476,4,46,17.99
805,869,51,4.49
680,999,63,49.99
848,396,24,69.99
767,823,9,19.99
394,750,74,19.99
24,393,86,22.99
666,216,10,19.99
708,644,91,6.99
914,886,50,5.99
444,911,48,2.49
202,55,100,19.99
50,628,57,59.99
573,301,86,5.99
104,666,8,99.99
471,666,84,14.99
879,89,79,15.99
437,957,8,39.99
462,858,54,24.99
128,299,14,79.99
102,152,12,29.99
452,708,87,7.99
596,861,80,39.99
219,280,40,3.29
241,512,82,3.99
309,542,96,299.99
423,633,24,4.99
980,343,93,3.99
454,140,57,49.99
311,431,96,14.99
413,145,80,8.99
338,216,33,15.99
388,640,14,7.99
232,340,26,29.99
24,914,80,2.99
37,337,82,29.99
797,533,29,5.49
618,597,64,6.99
718,479,23,49.99
571,946,19,4.29
785,877,67,4.49
804,957,73,0.99
193,738,86,3.29
986,868,70,3.29
595,956,65,44.99
394,486,9,2.49
424,495,5,79.99
309,743,20,69.99
765,155,75,24.99
114,785,68,14.99
778,370,98,8.99
369,6,92,59.99
183,153,23,5.99
337,683,2,39.99
971,597,52,15.99
955,654,29,8.99
452,179,12,3.99
275,109,95,2.99
587,858,23,18.99
559,787,59,2.99
657,883,56,89.99
845,371,57,39.99
38,234,88,29.99
36,770,26,2.49
233,682,41,3.79
949,858,51,3.49
934,986,4,3.49
801,801,8,49.99
433,873,4,2.99
648,271,31,4.29
769,821,99,34.99
152,92,14,2.29
5,457,79,59.99
936,685,95,44.99
681,869,5,3.29
65,136,88,29.99
488,471,44,1.29
474,680,46,3.49
549,336,64,3.99
582,478,71,19.99
760,818,19,14.99
294,602,27,24.99
496,684,62,2.99
176,830,82,3.49
516,181,37,2.99
194,873,66,2.99
118,296,52,29.99
777,480,30,2.39
230,647,56,1.99
434,992,39,24.99
73,3,24,15.99
54,297,5,34.99
275,164,46,22.99
892,425,99,34.99
944,390,5,89.99
615,813,78,4.99
726,444,59,2.99
510,646,35,3.99
44,993,85,14.99
751,454,50,8.99
4,648,12,99.99
484,156,64,79.99
242,877,92,89.99
399,867,48,2.99
444,262,66,1.99
52,835,7,39.99
709,936,65,69.99
854,236,64,4.99
739,808,52,4.99
284,493,8,29.99
169,668,25,3.79
192,546,85,5.99
669,679,40,4.49
593,92,27,3.49
269,16,84,6.29
830,281,52,2.99
552,654,4,79.99
404,453,64,24.99
681,682,31,34.99
313,795,73,3.49
316,227,34,59.99
698,953,93,29.99
726,231,39,2.99
37,304,93,9.99
904,225,62,5.49
346,677,31,2.49
542,179,88,89.99
551,895,46,1.99
170,724,14,24.99
720,953,5,19.99
802,696,1,3.59
120,741,6,14.99
865,927,58,12.99
938,411,88,5.49
926,269,72,8.99
157,652,37,2.49
49,846,65,34.99
998,526,13,249.99
251,733,21,2.99
518,113,68,3.29
508,237,87,44.99
252,568,36,22.99
58,685,67,24.99
681,716,43,2.99
876,308,14,5.99
130,324,74,2.99
211,814,85,29.99
144,595,72,49.99
345,456,77,7.49
474,238,26,24.99
766,35,10,49.99
419,563,93,4.99
659,178,79,79.99
919,481,49,24.99
138,217,15,59.99
186,520,86,3.49
471,70,35,3.49
468,915,8,69.99
350,550,71,1.89
819,634,40,2.99
647,35,58,25
653,328,13,7.99
492,50,97,2.79
515,860,28,5.99
317,539,29,1.99
874,215,65,79.99
771,104,79,1.99
24,863,60,24.99
458,171,56,5.49
504,723,10,19.99
383,590,65,1.49
53,720,73,4.99
958,461,75,49.99
582,7,58,39.99
85,718,48,39.99
282,581,61,5.49
591,634,26,24.99
823,444,96,4.99
877,439,37,3.99
978,936,60,14.99
863,940,100,49.99
738,416,20,3.79
207,408,23,22.99
755,11,29,3.99
468,430,49,2.29
278,860,4,3.99
543,564,9,15.99
464,130,27,19.99
147,53,18,59.99
354,522,69,4.79
169,927,75,1.5
741,445,83,2.79
980,88,94,2.49
241,231,88,9.99
155,141,22,3.99
635,236,93,4.29
402,394,21,5.99
915,514,30,5.79
505,830,76,19.99
622,16,66,14.99
366,168,97,4.99
708,156,83,39.99
324,669,70,11.99
221,720,97,15.99
451,16,79,39.99
562,628,49,2.79
744,862,62,3.19
180,908,11,4.79
323,365,21,10.99
568,175,38,2.49
832,669,64,3.99
866,244,10,3.39
424,633,72,6.49
900,170,84,79.99
5,727,79,54.99
600,510,25,79.99
485,533,89,3.99
260,737,25,19.99
22,97,65,119.99
736,105,8,2.29
814,956,58,2.49
396,225,98,89.99
41,213,81,34.99
28,182,17,22.99
836,257,32,3.49
668,773,64,29.99
870,396,1,12.99
892,335,98,15.99
547,567,65,59.99
58,849,100,12.99
847,453,63,3.99
593,952,81,2.99
394,14,99,4.99
919,823,79,7.99
620,700,13,19.99
682,326,94,2.99
645,591,13,5.99
665,518,100,299.99
563,13,3,2.29
648,742,12,3.79
702,619,91,44.99
977,204,69,3.69
792,236,55,49.99
969,341,54,22.99
853,728,34,2.99
435,411,4,4.79
807,8,2,5.99
619,802,57,49.99
975,838,88,1.99
811,563,59,3.5
728,428,44,79.99
622,791,38,24.99
702,117,78,2.99
868,696,53,24.99
962,344,71,59.99
735,735,48,18.99
159,528,6,45.99
198,827,5,14.99
670,128,32,0.99
617,413,41,12.99
205,201,25,39.99
576,249,4,34.99
42,534,96,22.99
569,205,35,2.99
216,994,22,59.99
353,666,71,49.99
659,654,84,3.29
207,139,34,89.99
704,491,6,3.99
446,199,38,2.49
854,681,80,4.99
213,166,87,5.49
791,167,100,12.99
153,844,85,49.99
397,718,37,19.99
494,240,34,2.49
258,536,45,3.49
988,82,50,24.99
422,864,58,249.99
665,986,12,39.99
51,366,53,24.99
539,876,30,39.99
224,703,53,8.99
320,552,89,29.99
421,368,65,19.99
657,26,7,24.99
953,923,87,12.99
80,893,29,4.99
381,992,46,5.49
3,336,33,22.99
709,587,26,19.99
440,247,32,4.99
558,223,81,10.99
527,389,61,3.79
634,864,72,39.99
453,905,8,3.99
537,598,20,5.49
784,668,91,18.99
339,161,59,2.49
876,740,72,2.99
363,197,3,69.99
287,720,88,3.69
386,207,73,169.99
388,503,1,19.99
782,646,20,4.29
444,761,49,5.29
462,462,47,39.99
717,413,57,22.99
379,392,21,3.49
992,156,71,79.99
813,147,65,2.99
519,208,72,2.29
991,45,4,24.99
465,858,71,59.99
960,877,36,2.29
779,969,54,1.99
834,821,61,99.99
302,511,93,5.49
34,665,62,3.99
445,57,65,8.99
484,239,20,10.99
259,928,63,19.99
170,966,97,19.99
754,470,2,299.99
504,360,25,39.99
536,898,23,59.99
741,2,94,4.99
244,768,72,22.99
546,964,78,3.49
745,76,11,19.99
128,695,49,49.99
517,507,99,8.99
91,294,3,2.79
343,553,89,49.99
641,385,22,3.49
7,54,82,89.99
715,265,84,5.49
852,156,55,5.99
337,944,1,24.99
774,845,2,24.99
645,447,92,29.99
366,504,55,5.49
795,555,35,4.99
900,728,81,5.49
390,204,72,14.99
24,975,77,29.99
534,643,77,39.99
993,281,51,169.99
932,265,86,29.99
208,168,83,19.99
260,236,50,39.99
218,633,20,39.99
